,May_Total_RL,May_half_life,May_inflec_FoldedNormal,May_Inflection_sig_point,June_Total_RL,June_half_life,June_inflec_FoldedNormal,June_Inflection_sig_point,July_Total_RL,July_half_life,July_inflec_FoldedNormal,July_Inflection_sig_point,x,bed,Delta_15N,Delta_13C,Log_Delta_15N,ID,RFP_Delta_15N,RFP_Log_Delta_15N,RFP_Delta_13C,Corrected_Log15N,Corrected_13C
138,39.54748095324294,103.64,110.75,125.51,29.28189821972296,134.76,138.23,145.55,9.319560294948698,143.24,143.7,145.73,2103,2,7.60669258134369,-26.061844815266,2.029028462597487,Ambition,-25.060195820812982,-0.7195157298689884,0.1912679314397074,-1.112999491387904,0.2158332273303393
139,64.78299480755174,127.95,137.8,153.85,40.7685422875188,148.56,152.96,166.01,25.29896400022715,152.15,156.89,168.03,2106,2,12.12788277057941,-26.968884161409893,2.495507162839069,Canon,4.722362590703776,0.3436121795304354,-0.0652764973736118,-0.685458154308495,-0.680099165342785
140,77.81099533934761,129.33,138.41,163.61,48.96724184277231,155.75,161.43,180.19,26.497003410996456,158.44,165.1,173.87,2108,2,24.111625484243618,-25.869068409992853,3.182694109424577,KWS Leif,30.27632345541158,0.2668185834653536,-0.2285344537590105,-0.0242294498311008,0.4271212217214319
141,93.61701719390555,127.68,136.26,162.43,58.94486119661465,156.82,163.26,187.59,30.226889623237376,163.3,170.63,182.44,2109,2,56.31457154869982,-26.33332994264265,4.030953321350321,NOS 509130.20,22.294612188057503,0.5430907599459688,-0.2902935407230809,0.8110506410405875,-0.0334379931047763
142,97.309043421136,126.86,136.29,165.17,58.57151920113253,152.7,159.69,187.21,24.68446546540608,157.9,167.49,172.16,2110,2,1.86736990534326,-27.655048462381444,0.6245309731314979,KWS 308,50.85474148748104,0.1608958869753598,-0.362821277018585,-2.608350828232294,-1.3514541950199828
143,83.1629464249383,134.77,141.73,166.87,53.83381335946851,157.13,164.59,189.11,29.09931685718652,167.91,175.03,181.26,2111,2,30.95031704622806,-26.309888856981143,3.432383242898107,NOS 511192.01,3.897050389357463,0.513990861916001,-0.2433593855014645,0.1865223204802597,-0.0025922717960931
144,66.97234544387922,121.09,127.76,149.98,36.10946311660339,146.54,151.72,162.0,18.01469346169018,156.68,157.5,160.42,2112,2,1.0858355865195002,-25.652952914310845,0.0823498164221186,Sj L024,-1.5524972575058762,-0.0734700969978395,0.0606583025127743,-3.176490227049788,0.6580459886977934
145,51.14448772631872,103.23,112.04,133.9,33.17838244569901,149.47,153.07,159.62,18.587494659873123,153.56,154.85,158.15,2113,2,15.690018247404929,-26.24926639294987,2.7530247297401176,Sj M0471,-17.292724086769198,-0.2715269498124309,0.0372058580168346,-0.5187944347858475,0.0654348278823562
146,92.2406723891742,134.54,142.55,172.77,53.55670272639279,157.23,162.84,179.81,32.480477701226405,164.52,169.12,178.24,2114,2,215.9269456497269,-26.82521388342272,5.374940135892115,Sj N0818,53.54242409050986,1.1006687294926825,-0.2911859169063541,2.0901418503120945,-0.506810344766901
147,64.28073530008007,108.04,120.12,146.95,55.5779440888811,150.66,157.86,180.57,31.28038403693496,161.81,167.69,178.79,2115,2,18.46144951195656,-26.51498691280223,2.9156847477664947,Gedser,13.45677401821947,0.3459946889418097,-0.1375294574088577,-0.3820926588675846,-0.1928810563228253
148,54.52200546451626,115.74,124.35,138.68,25.35207607987978,136.0,139.93,143.67,5.925699577681168,141.34,141.31,142.33,2116,2,5.986974157315196,-26.729255209886915,1.789586135467421,Sheriff,-34.309891359410805,-1.113844188158485,0.3020841501558122,-1.5211703922207136,-0.4034470355839232
149,65.60193491383252,110.27,127.65,155.47,44.47887119535829,157.51,162.56,171.67,23.656748930232546,162.22,168.75,173.86,2117,2,2.5138890591044545,-26.177009102406704,0.9218309799598274,Oakley,21.115051606666604,0.2744585422052851,-0.131293156015305,-2.401904668782366,0.1525013897198768
150,62.69844980731202,106.6,114.09,134.22,27.656343754949795,136.99,143.05,150.63,13.004269068943913,148.27,148.68,151.16,2118,2,7.253317416922853,-26.124509945584204,1.981458938959162,Sj M0351,-35.493869826930215,-0.7697602865717209,-0.0047001539136602,-1.3552558308370868,0.2087028643659643
151,57.21890081171052,110.28,119.62,141.42,37.80715126225737,154.65,159.33,171.0,22.42691296092272,159.31,164.5,168.92,2119,2,165.32637703236716,-26.52900770342538,5.1079215627706605,Stinger,13.945579955576434,0.3699654913697436,-0.2022664156572937,1.758227671920353,-0.1920925756516212
152,59.33819691377106,108.14,115.5,129.27,31.69269478026502,145.26,152.13,164.21,13.941014509877132,155.19,158.02,161.21,2120,2,396.5999179459353,-27.41808722450046,5.982928009191916,NOS 511167.10,-17.61583443124996,-0.0773567821763894,0.1193369101667231,2.620254997287553,-1.0774697789031151
153,65.84781200528488,107.97,113.64,130.53,44.262087376408935,156.0,160.79,171.76,28.22737611725906,160.99,165.31,171.78,2121,2,155.81891912914392,-26.8309889930193,5.048694558215478,Br10092p91,6.292239692287737,0.3312998024530986,-0.2564457399590844,1.673042425257056,-0.4866692295983661
154,64.98267182073059,107.73,115.1,135.9,38.85741779331558,157.07,162.84,177.22,27.500356128168946,163.06,166.66,177.61,2122,2,82.58583206772184,-26.760463813683103,4.413838141211054,Sj N1127,-2.077906742014539,0.2704488015231852,-0.084804525935601,1.0252068871985769,-0.4124417324385803
155,60.48083001102763,114.22,121.15,136.92,20.11597593998744,135.32,135.89,139.34,6.6812249753032935,156.54,160.41,132.35,2123,2,15.991387467731682,-26.37309352036418,2.772050294046564,Mariboss,-38.81903650066364,-0.7128564866579772,0.3363175378820295,-0.6295600810199717,-0.0213691212960682
