Camera,tube,Depth,Date,Root.length
Cam1_,102,4157,16/05/2019,0
Cam1_,102,4192,16/05/2019,0
Cam1_,102,4227,16/05/2019,0
Cam1_,102,4261,16/05/2019,0
Cam1_,102,4297,16/05/2019,0
Cam1_,102,4331,16/05/2019,0
Cam1_,102,4366,16/05/2019,0
Cam1_,102,4402,16/05/2019,0
Cam1_,102,4436,16/05/2019,0
Cam1_,102,4472,16/05/2019,0
Cam1_,102,4506,16/05/2019,0
Cam1_,102,4541,16/05/2019,0
Cam1_,102,4577,16/05/2019,0
Cam1_,102,4613,16/05/2019,0
Cam1_,102,4647,16/05/2019,0
Cam1_,102,4680,16/05/2019,0
Cam1_,102,4717,16/05/2019,0
Cam1_,102,4752,16/05/2019,0
Cam1_,102,4786,16/05/2019,0
Cam1_,102,4820,16/05/2019,0
Cam1_,102,4857,16/05/2019,0
Cam1_,102,4891,16/05/2019,0
Cam1_,102,4928,16/05/2019,0
Cam1_,102,4961,16/05/2019,0
Cam1_,102,5002,16/05/2019,0
Cam1_,102,517,16/05/2019,0
Cam1_,102,551,16/05/2019,0
Cam1_,102,584,16/05/2019,0
Cam1_,102,621,16/05/2019,88
Cam1_,102,655,16/05/2019,40
Cam1_,102,691,16/05/2019,0
Cam1_,102,726,16/05/2019,289
Cam1_,102,762,16/05/2019,1256
Cam1_,102,796,16/05/2019,2033
Cam1_,102,829,16/05/2019,946
Cam1_,102,865,16/05/2019,248
Cam1_,102,901,16/05/2019,1357
Cam1_,102,935,16/05/2019,196
Cam1_,102,971,16/05/2019,192
Cam4_,103,1005,16/05/2019,819
Cam4_,103,1038,16/05/2019,1001
Cam4_,103,1076,16/05/2019,938
Cam4_,103,1111,16/05/2019,1095
Cam4_,103,1145,16/05/2019,238
Cam4_,103,1180,16/05/2019,1327
Cam4_,103,1216,16/05/2019,868
Cam4_,103,1252,16/05/2019,1120
Cam4_,103,1285,16/05/2019,2111
Cam4_,103,1320,16/05/2019,557
Cam4_,103,1355,16/05/2019,3060
Cam4_,103,1390,16/05/2019,3091
Cam4_,103,1425,16/05/2019,2013
Cam4_,103,1461,16/05/2019,1502
Cam4_,103,1495,16/05/2019,1218
Cam4_,103,1531,16/05/2019,878
Cam4_,103,1566,16/05/2019,2499
Cam4_,103,1600,16/05/2019,1206
Cam4_,103,1636,16/05/2019,1967
Cam4_,103,1670,16/05/2019,135
Cam4_,103,1705,16/05/2019,909
Cam4_,103,1740,16/05/2019,2218
Cam4_,103,1777,16/05/2019,1922
Cam4_,103,1811,16/05/2019,840
Cam4_,103,1846,16/05/2019,346
Cam4_,103,1881,16/05/2019,0
Cam4_,103,1915,16/05/2019,0
Cam4_,103,1950,16/05/2019,151
Cam4_,103,1985,16/05/2019,740
Cam4_,103,2020,16/05/2019,1360
Cam4_,103,2054,16/05/2019,499
Cam4_,103,2091,16/05/2019,1041
Cam4_,103,2126,16/05/2019,1632
Cam4_,103,2161,16/05/2019,2062
Cam4_,103,2196,16/05/2019,179
Cam4_,103,2232,16/05/2019,298
Cam4_,103,2266,16/05/2019,366
Cam4_,103,2301,16/05/2019,162
Cam4_,103,2336,16/05/2019,164
Cam4_,103,2371,16/05/2019,449
Cam4_,103,2407,16/05/2019,19
Cam4_,103,2441,16/05/2019,224
Cam4_,103,2477,16/05/2019,481
Cam4_,103,2511,16/05/2019,302
Cam4_,103,2546,16/05/2019,650
Cam4_,103,2581,16/05/2019,1661
