Camera,tube,Depth,Date,Root length
Cam3,101,4375,17/05/2018,0
Cam3,101,4405,17/05/2018,0
Cam3,101,4436,17/05/2018,0
Cam3,101,4466,17/05/2018,42
Cam3,101,4502,17/05/2018,0
Cam2,102,1015,17/05/2018,1350
Cam2,102,1046,17/05/2018,329
Cam2,102,1076,17/05/2018,699
Cam2,102,1105,17/05/2018,853
Cam2,102,1137,17/05/2018,1611
Cam2,102,1167,17/05/2018,2555
Cam2,102,1196,17/05/2018,2125
Cam2,102,1226,17/05/2018,902
Cam2,102,1257,17/05/2018,1034
Cam2,102,1287,17/05/2018,1284
Cam2,102,1316,17/05/2018,260
Cam2,102,1345,17/05/2018,8
Cam2,102,1376,17/05/2018,0
Cam2,102,1406,17/05/2018,84
Cam2,102,1437,17/05/2018,212
Cam2,102,1466,17/05/2018,73
Cam2,102,1496,17/05/2018,244
Cam2,102,1527,17/05/2018,947
Cam2,102,1555,17/05/2018,280
Cam2,102,1585,17/05/2018,931
Cam2,102,1616,17/05/2018,1114
Cam2,102,1647,17/05/2018,867
Cam2,102,1677,17/05/2018,690
Cam2,102,1706,17/05/2018,793
Cam2,102,1736,17/05/2018,997
Cam2,102,1766,17/05/2018,1186
Cam2,102,1795,17/05/2018,1232
Cam2,102,1825,17/05/2018,2032
Cam2,102,1857,17/05/2018,1588
Cam2,102,1886,17/05/2018,340
Cam2,102,1914,17/05/2018,0
Cam2,102,1945,17/05/2018,255
Cam2,102,1976,17/05/2018,260
Cam2,102,2006,17/05/2018,750
Cam2,102,2035,17/05/2018,1773
Cam2,102,2065,17/05/2018,2068
Cam2,102,2096,17/05/2018,1001
Cam2,102,2126,17/05/2018,681
Cam2,102,2156,17/05/2018,884
Cam2,102,2185,17/05/2018,1596
Cam2,102,2217,17/05/2018,1404
Cam2,102,2245,17/05/2018,658
Cam2,102,2277,17/05/2018,1848
Cam2,102,2306,17/05/2018,2696
Cam2,102,2337,17/05/2018,828
Cam2,102,2367,17/05/2018,89
Cam2,102,2397,17/05/2018,391
Cam2,102,2426,17/05/2018,772
Cam2,102,2456,17/05/2018,1242
Cam2,102,2483,17/05/2018,1406
Cam2,102,2516,17/05/2018,432
Cam2,102,2545,17/05/2018,434
Cam2,102,2576,17/05/2018,1005
Cam2,102,2606,17/05/2018,273
Cam2,102,2635,17/05/2018,468
Cam2,102,2666,17/05/2018,702
Cam2,102,2696,17/05/2018,564
Cam2,102,2728,17/05/2018,0
Cam2,102,2757,17/05/2018,162
Cam2,102,2787,17/05/2018,382
Cam2,102,2816,17/05/2018,90
Cam2,102,2847,17/05/2018,0
Cam2,102,2876,17/05/2018,17
Cam2,102,2907,17/05/2018,65
Cam2,102,2936,17/05/2018,0
Cam2,102,2967,17/05/2018,0
Cam2,102,2996,17/05/2018,0
Cam2,102,3026,17/05/2018,0
Cam2,102,3056,17/05/2018,0
Cam2,102,3086,17/05/2018,83
Cam2,102,3117,17/05/2018,0
Cam2,102,3146,17/05/2018,0
Cam2,102,3176,17/05/2018,0
Cam2,102,3205,17/05/2018,0
Cam2,102,3236,17/05/2018,0
Cam2,102,3267,17/05/2018,0
Cam2,102,3296,17/05/2018,0
Cam2,102,3327,17/05/2018,0
Cam2,102,3356,17/05/2018,0
Cam2,102,3385,17/05/2018,0
Cam2,102,3416,17/05/2018,8
Cam2,102,3445,17/05/2018,0
Cam2,102,3476,17/05/2018,0
Cam2,102,3504,17/05/2018,12
Cam2,102,3537,17/05/2018,0
Cam2,102,3566,17/05/2018,0
Cam2,102,3596,17/05/2018,156
Cam2,102,3625,17/05/2018,0
Cam2,102,3655,17/05/2018,0
Cam2,102,3684,17/05/2018,0
Cam2,102,3716,17/05/2018,0
Cam2,102,3747,17/05/2018,54
Cam2,102,3774,17/05/2018,0
Cam2,102,3806,17/05/2018,0
Cam2,102,3835,17/05/2018,7
Cam2,102,3865,17/05/2018,0
Cam2,102,3895,17/05/2018,0
Cam2,102,3926,17/05/2018,0
Cam2,102,3956,17/05/2018,0
Cam2,102,3986,17/05/2018,23
Cam2,102,4015,17/05/2018,58
Cam2,102,4046,17/05/2018,19
Cam2,102,4077,17/05/2018,0
Cam2,102,4106,17/05/2018,0
Cam2,102,4135,17/05/2018,0
Cam2,102,4167,17/05/2018,24
Cam2,102,4196,17/05/2018,0
Cam2,102,4226,17/05/2018,0
Cam2,102,4254,17/05/2018,0
Cam2,102,4287,17/05/2018,0
Cam2,102,4317,17/05/2018,0
Cam2,102,4347,17/05/2018,0
Cam2,102,4376,17/05/2018,0
Cam2,102,4405,17/05/2018,0
Cam2,102,4435,17/05/2018,0
Cam2,102,4466,17/05/2018,0
Cam2,102,4504,17/05/2018,0
Cam1,103,1015,17/05/2018,1070
Cam1,103,1046,17/05/2018,92
Cam1,103,1074,17/05/2018,1030
Cam1,103,1107,17/05/2018,196
Cam1,103,1136,17/05/2018,1037
Cam1,103,1165,17/05/2018,1813
Cam1,103,1197,17/05/2018,2616
Cam1,103,1226,17/05/2018,1329
Cam1,103,1255,17/05/2018,814
Cam1,103,1286,17/05/2018,386
Cam1,103,1314,17/05/2018,850
Cam1,103,1346,17/05/2018,925
Cam1,103,1376,17/05/2018,787
Cam1,103,1406,17/05/2018,1515
Cam1,103,1436,17/05/2018,1757
Cam1,103,1466,17/05/2018,1993
Cam1,103,1496,17/05/2018,1794
Cam1,103,1526,17/05/2018,1583
Cam1,103,1585,17/05/2018,1891
Cam1,103,1615,17/05/2018,2709
Cam1,103,1647,17/05/2018,1809
Cam1,103,1676,17/05/2018,1239
Cam1,103,1706,17/05/2018,1363
Cam1,103,1735,17/05/2018,876
Cam1,103,1767,17/05/2018,514
Cam1,103,1796,17/05/2018,674
Cam1,103,1826,17/05/2018,335
Cam1,103,1855,17/05/2018,124
Cam1,103,1885,17/05/2018,851
Cam1,103,1915,17/05/2018,1733
Cam1,103,1945,17/05/2018,876
Cam1,103,1975,17/05/2018,127
Cam1,103,2004,17/05/2018,312
Cam1,103,2036,17/05/2018,866
Cam1,103,2065,17/05/2018,1795
Cam1,103,2125,17/05/2018,560
Cam1,103,2156,17/05/2018,2405
Cam1,103,2184,17/05/2018,1150
Cam1,103,2216,17/05/2018,344
Cam1,103,2245,17/05/2018,111
Cam1,103,2277,17/05/2018,78
Cam1,103,2303,17/05/2018,0
Cam1,103,2335,17/05/2018,656
Cam1,103,2365,17/05/2018,276
Cam1,103,2394,17/05/2018,252
Cam1,103,2426,17/05/2018,366
Cam1,103,2485,17/05/2018,997
Cam1,103,2514,17/05/2018,181
Cam1,103,2547,17/05/2018,613
Cam1,103,2576,17/05/2018,504
Cam1,103,2605,17/05/2018,891
Cam1,103,2634,17/05/2018,1394
Cam1,103,2665,17/05/2018,474
Cam1,103,2695,17/05/2018,560
Cam1,103,2727,17/05/2018,0
Cam1,103,2756,17/05/2018,418
Cam1,103,2817,17/05/2018,892
Cam1,103,2847,17/05/2018,531
Cam1,103,2877,17/05/2018,0
Cam1,103,2906,17/05/2018,877
Cam1,103,2938,17/05/2018,10
Cam1,103,2967,17/05/2018,594
Cam1,103,2996,17/05/2018,2245
Cam1,103,3057,17/05/2018,60
Cam1,103,3086,17/05/2018,0
Cam1,103,3115,17/05/2018,134
Cam1,103,3146,17/05/2018,393
Cam1,103,3176,17/05/2018,141
Cam1,103,3206,17/05/2018,0
Cam1,103,3235,17/05/2018,92
Cam1,103,3267,17/05/2018,281
Cam1,103,3296,17/05/2018,8
Cam1,103,3326,17/05/2018,0
Cam1,103,3356,17/05/2018,0
Cam1,103,3385,17/05/2018,18
Cam1,103,3414,17/05/2018,441
Cam1,103,3446,17/05/2018,1224
Cam1,103,3475,17/05/2018,461
Cam1,103,3505,17/05/2018,5
Cam1,103,3536,17/05/2018,0
Cam1,103,3565,17/05/2018,0
Cam1,103,3596,17/05/2018,0
Cam1,103,3625,17/05/2018,0
Cam1,103,3654,17/05/2018,118
Cam1,103,3686,17/05/2018,14
Cam1,103,3715,17/05/2018,0
Cam1,103,3745,17/05/2018,0
Cam1,103,3776,17/05/2018,0
Cam1,103,3805,17/05/2018,0
Cam1,103,3835,17/05/2018,0
