,May_Total_RL,May_half_life,May_inflec_FoldedNormal,May_Inflection_sig_point,June_Total_RL,June_half_life,June_inflec_FoldedNormal,June_Inflection_sig_point,July_Total_RL,July_half_life,July_inflec_FoldedNormal,July_Inflection_sig_point,x,bed,Delta_15N,Delta_13C,ID,Log_Delta_15N
27,51.42784912530928,109.49,121.0,144.83,51.96678924237439,129.07,136.48,162.63,28.104077359727047,119.55,131.72,164.1,1160,1,6.5725783926213115,-27.574558153250564,P0283,1.882906204918028
28,83.83593200359185,127.42,131.55,153.92,76.25145586556947,133.56,140.42,161.95,41.06689493044499,134.26,143.07,177.84,1162,1,4.461637015400926,-27.855683771072684,NOS_511016.09,1.495515742499738
29,74.33099809524178,113.4,121.28,134.71,78.95248661046094,130.98,139.32,166.31,54.16683794106351,142.43,146.43,173.95,1163,1,23.837917800029334,-27.78776917956572,513144.04,3.1712774977799403
30,58.87765445410156,111.68,122.37,136.25,71.01511383577281,136.01,143.69,164.81,44.36598608404212,161.67,160.08,177.9,1164,1,7.182335847587595,-28.24326611560631,Sj_M0471,1.9716246571148517
31,52.828299319835,114.12,123.09,144.62,54.782546806903696,127.91,138.64,162.32,45.62364659429458,132.97,142.81,174.42,1165,1,13.464876736067545,-27.973239779625494,Kvium,2.60008457182638
32,71.61333085841358,127.25,136.26,164.84,73.52503642112727,155.57,156.9,182.59,59.11712588912647,151.86,156.14,190.83,1166,1,6.183576177340419,-28.479401096405105,KWS_Extase,1.8218967735775426
33,65.59145331548778,139.61,129.8,142.81,53.51929127444344,152.37,133.31,143.75,42.400137476550334,232.07,168.52,174.7,1167,1,23.270906525409906,-27.871286494935077,P0705,3.147203933384363
34,79.00826965455822,120.51,129.42,153.88,92.32089131128572,152.94,154.43,188.47,57.78819757804236,161.46,161.35,194.89,1168,1,28.522111156395027,-28.197703451350225,513029.04,3.350679616522991
35,81.47389937970023,142.24,142.46,166.89,91.99934737866216,143.17,148.78,174.27,71.07061839199743,162.24,159.04,182.18,1169,1,10.482210809912745,-28.44700948173682,KWS_Zyatt,2.3496796117893344
36,82.29239784114746,150.54,146.59,170.28,91.05724059831778,160.06,155.25,175.06,55.954571806393865,165.04,161.06,184.77,1170,1,4.486934312502656,-27.817754362694416,Chevignon,1.5011696873731275
37,63.67660230351097,166.54,152.24,173.16,68.39237161253571,179.11,164.49,185.94,52.72700134272658,166.03,160.45,190.04,1171,1,27.571158123967507,-28.230153752874013,NOS_510050.19,3.3167702308261924
